user,text
TexasBr64310863,@JoeBiden No we shouldn’t. That is the most proven corrupt way to vote.
SteelRaptor,"@JoeBiden Local and state corruption is one thing, vote-in corruption on the national level cannot be tolerated..."
maurice_dichard,@JoeBiden Absentee ballots are ok. There’s a process to obtain one. You have to show up at your local city hall to… https://t.co/wri4lMBNv9
Corndiggity,"@JoeBiden Those choosing to vote absentee should do so, just like any other election. However they should go throug… https://t.co/ATUFCiW9L8"
DennisBess11,"@JoeBiden I live in ca have been voting by mail for years, Democrats always win."
TammyTsai365,@JoeBiden Absentee. You give 1/2 the truth. Completely different process and you know it.
Boxer751,@JoeBiden 👇👇👇👇👇 https://t.co/20TZGMq9yR
joelhthornton,"@JoeBiden We all can, under special circumstances as provided by state law! Your writers are not too bright."
fishhunt247365,@JoeBiden Suckers
Kadanial1,@JoeBiden He voted absentee because he was ABSENT. People who are voting by mail who are perfectly capable of going… https://t.co/kcGTXNct6k
Boxer751,"@JoeBiden Debate President Trump,  Debate President Trump,  Debate President Trump, Debate President Trump!!!!!!!"
mtbiker6975,@JoeBiden False Get your shit straight
authentically45,"@JoeBiden On November 3rd, Democrats are going to set post offices on fire. Democrats know Joe will lose the election. #Trump2020Landslide"
Count_Rollins,@JoeBiden Mail in or absentee? There is a difference.
jr_pettaman,@JoeBiden He is the President for God’s Sake. Not apples for apples. Joe you should beg for God’s forgiveness for g… https://t.co/NJQe4r3Igu
crel2112,@JoeBiden If you can Riot. You can vote in person.
NOTASERF_VASSAL,@JoeBiden You should vote via Pony Express.
Lucycar96695897,@JoeBiden @JoeBiden is a man who throws blame and constantly knocks The president on divide of the country BUT all… https://t.co/737P4pFk0S
sandeep9285,@JoeBiden Trump 2020
EllDevon,@JoeBiden But will your idea pass the sniff test.
Therealtdavis,@JoeBiden Not the same thing Joe I think you know that.  It's already been proven mail in ballots are a disaster.… https://t.co/7H9rosNc9F
LeliaUSA1,@JoeBiden Voting in person will work. 6 ft apart. Dems are desperate to cheat with mail in voting.
BillyJoeOwens,@JoeBiden Oh and if you can go to the store then you can go to the booths. Election Day should be Nov.1-2-3-4th the… https://t.co/BKPQcfby34
MikeGil6246,@JoeBiden @cindyglenn214 Absentee is different than all mail in voting.
mdjohnson9,@JoeBiden Everybody has been able to vote by mail for years. It's called absentee voting. Not the same as indiscrim… https://t.co/gQ9JPL4Yah
ytkkaku4816pas1,"@JoeBiden do you have own ideas ???don’t imitate with better than you,,"
JeanMinistries,@JoeBiden This guy is seriously sick!!
LagoMaggorie,@JoeBiden Absentee ballot knucklehead know the differences
debiegijoe,@JoeBiden What about the dead people do they count ?? You really hate America don’t you ??
MD_STAT,@JoeBiden bananas are yummy
asjlive,@JoeBiden Don't care how I vote I'm not voting for you.
chachmalone,"@JoeBiden A party that lost 33,000 emails wants us to vote by mail? Me thinks that is why they are still spreading… https://t.co/6oudIx1Bii"
sacred_horse,"@JoeBiden Voted Absentee not by ""mail""!"
CynthiaLaw6,@JoeBiden You have to apply for an absentee ballot. No just receive several randomly in the mail. Tell the truth for once!!!
michell4trump20,"@JoeBiden Dear Joe,  dems lie, bait, attach and have nothing to stand on expect hatred of POTUS founded on NS of fa… https://t.co/V7ugkBNRsT"
karmannptny,"@JoeBiden Voted illegally by mail. There, I fixed it for ya. He cannot be a resident of Mar a Lago, since it’s a business."
Bobbydino21,@JoeBiden No Joe.
Demcytheater,"@JoeBiden A vote for Biden is a Vote for more dead Americans.  Yes, I know, so is a vote for Donald Trump.  I thoug… https://t.co/YVWDRYLq7x"
HeyLady1776,@JoeBiden Voting fraud ! https://t.co/ejw0HxP1xH
theVerbalghost,"@JoeBiden You can, called absentee ballot"
diazrr4,@JoeBiden Joe Biden can't win in an open and fair election
onilee53,@JoeBiden There you go again. Spin it to make it sounds like he did something he is against. He voted by mail becau… https://t.co/Wnoll8vQW9
BillyJoeOwens,@JoeBiden What happens when YOUR cronies EVIL PLAN fails? Then republicans win for the next 30 yrs?
mariawelter6,@JoeBiden Shut. Up.
GoRejoicing,@JoeBiden ~ YEAH BUT he’s above the law… and above the fray. https://t.co/ZFX4blNISW
GuyBeaumont,@JoeBiden Donald Trump is voting for Donald Trump. You should be able to as well.
IvoryMosley,@JoeBiden 94 Crime Bill
SharoninOkie,@JoeBiden Crooked and Creepy is what Biden stands for. Doesn’t have the memory left to remember
SXY247,@JoeBiden Why so you &amp; Mick Obama can win by fraud?
chachacha3869,"@JoeBiden Last I checked anyone can get an absentee ballot , as long as they are alive and a human . People should… https://t.co/jAXcGX1etn"
Dogg_dad80,@JoeBiden https://t.co/ziiCsulIpJ
sherry1138,@JoeBiden .@realDonaldTrump passed a cognitive test. You should be able to as well.
SPTCO83,@JoeBiden I will go personally hand the Ballot for Joe Biden to the Voting Registar officer for counting.
Hafforr,@JoeBiden By not telling the whole story you are a liar
ZibaLady1,"@JoeBiden Bernie Sanders campaign co-chairwoman Nina Turner said: ""Endorsing Joe Biden for president would be like… https://t.co/uVWZ2omYVI"
unclezgolf,@JoeBiden 2 months all you'll be able to do is lick a stamp with your DROOL
12GASHOTGUN,"@JoeBiden WHAT A MARVELOUS DEDUCTION ""JOLLY JOE"" !!!!!!!!!!!!!!!!!!!!!"
xierh5,@JoeBiden Joe get you head out of your ass...I mean basement!
GentlemenToxic,@JoeBiden With an ID?
tentacle_pup,"@JoeBiden @brat2381 I will, &amp; your name will have a check next to it on this: https://t.co/veEYCudAdk"
Duhla5,"@JoeBiden Absentee ballot Much different than bulk mailed ballots. You know that, but @JoeBiden will say anything"
chevjoe,"@JoeBiden Get with the times... mail? Then allow voting via a website... encryption, data governence, unique identi… https://t.co/GBuNXRwg4O"
RJDeplorable,@JoeBiden 🤣😂 thats why my dead neighbor still gets a ballot.  Her husband throws them away. Democrats will cheat like they always do!
PatriciaABever2,@JoeBiden I hate stupid people ( trumpkins )!! VOTE BIDEN BEFORE ALL AMERICANS ARE INFECTED WITH trump AS PRESIDENT… https://t.co/ehC2OGPGDA
SHARHAIR,"@JoeBiden 1,000s of ""protesters"" have gathered in mass gatherings for 50+ days straight with no apparent outbreak/s… https://t.co/fIOZmY5WJB"
Aniquery,@JoeBiden How high can you jump Joe Biden if China asked you Joe Biden to jump?
Sunnysunny2day,"@JoeBiden I want to vote in person.  IN PERSON.  Why should we have to mail them in.  You know as well as I do, hal… https://t.co/3vc0HNYeQQ"
Patriot79Baker,"@JoeBiden Whatever little 20-something policy wonk wrote this on behalf of Creepy Uncle Joe, first, I hope he hasn'… https://t.co/aoEi01T2zb"
patriotlove74,@JoeBiden Do a live debate with him and I’ll consider it.
QWarrior2020,@JoeBiden Who would vote for this mess 👇👇👇👇👇 https://t.co/H6loTiAjSk
DanHugh86409520,@JoeBiden Cheater
1972cad1,@JoeBiden No!
DeepSouthProud,"@JoeBiden There is no need for 330 million Americans to vote by mail. Go back to bed, Joe."
Ringo1256,@JoeBiden Derpity derp derp
PatRiot87876896,"@JoeBiden Hi Jill. Absentee ballot. Not ""vote by mail""."
AndrewJ82238156,@JoeBiden So do all the dead democrats
PoliticallyDis1,@JoeBiden https://t.co/UkE28MbaYq
whatzudogorcat,@JoeBiden https://t.co/8uulHYWm21
quesogrande1970,@JoeBiden I think voting by mail is a good policy at this point. Please convince me with possible smart policies we… https://t.co/D30ybmGk8y
TX_BLU_Girl,"@JoeBiden Listen ALL, if you have the option to vote by mail please do it EARLY!! In many elections votes were deem… https://t.co/ivO0NFBXZd"
Dannydeacon1970,@JoeBiden No thanks.  I don’t want workers whose union endorses you playing election official.
nicoledurmire,@JoeBiden your voters must be really stupid to fall for this bullshit
ms_susanmarie,@JoeBiden @BrunoAmato_1 And Trump is the biggest Fake American there is!
mikerok_mike,"@JoeBiden Yep, make voting by mail an option, not mandatory. Thank you, silent joe."
R_Faith_1,@JoeBiden Donald Trump voted by absontee ballot and ID. Next. .?  You're pathetic QuidProJoe.🙄
MadMax17956746,"@JoeBiden You told us to vote in person during the primaries, during full lock down. You have no standing. #dropoutjoe"
ChpDawg27,@JoeBiden Do you even know what your voting for? Or running for?
daurbanconsumer,@JoeBiden Who’s says we can’t?? 😳
USA_democary,"@JoeBiden Yes we should. Is it possible for Trump to not fund the post office? Even if he can, can volunteers deliv… https://t.co/kwRalaJW8J"
crimefighter77,@JoeBiden Joe Biden touches young children inappropriately.
bob_koeller,@JoeBiden Cheatin joe... Absentee ballot ... Ooops forgot that part
VincentYanni,@JoeBiden Big difference between mail-in voting and absentee ballot voting. #Trump2020
akotas01,@JoeBiden If masks works then what’s the problem??? We can stand in line and vote!
RobertFrisone,@JoeBiden There is a difference between absentee ballots ( which are requested by the voter of people in the arm fo… https://t.co/MTWf3emJw4
samanta2065,@JoeBiden DIOS ES EL UNICO QUE DECIDE Y EL NO TE QUIERE EN EL PODER VENEZUELA ESTA CON TRUMP 🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪
justnancyaustin,@JoeBiden Are you playing dumb or is this real? Absentee voting has always existed and no one is disputing that.
DialloM64894072,@JoeBiden No
HARRYBATSON2,@JoeBiden So you squad can tramper with the ballots just stay in your basement Trump 2020
zoeileana,@JoeBiden Absentee voting is fine. Mail by vote leads to fraud
CarlosBAlonso2,"@JoeBiden Why are Dems afraid of true voting in person?!  Most legit way of voting.  Antifa is not a myth, but a terrorist organization."
9th_Doc,@JoeBiden No. A big no Cornpop. Then you could cheat your way to victory.
ethericblue,@JoeBiden You are under criminal investigation from the Ukraine for a billion dollar quid pro quo.  You can mail yo… https://t.co/pstznHxiss
TrevinSchall,@JoeBiden I like hairy legs... you’ve got my vote:? https://t.co/CLjqc5VX9F
Blue_EyezOnU,"@JoeBiden I will walk through fire, locusts, whatever to vote on Election Day for DJT.  No mail in."
lindalewis2021,@JoeBiden Only if you request it!  Not in mass mailings.  So you can cheat?  That's the only way you will be elected.  @JoeBiden
RobynRepeta1,@JoeBiden Be able to cheat?
TeslaIndy,"@JoeBiden It would be impossible for him to vote illegally. If this is your defense, it is very weak."
chipotlemas14,@JoeBiden https://t.co/3tJGNUanuR
GBolt10,@JoeBiden Too much fraud with vote by mail.  If you can go out and protest/riot you can go to the polls.
RobertBKasna,@JoeBiden It is a much different process Boomer.
Tfoolary,@JoeBiden Vote by mail and an absentee ballot are 2 diferent things.  And you want to be President?🤔🙄🙄🙄🙄
USCnDodgerBlue,@JoeBiden Absentee ballot. Big difference.
Lucy71916391,@JoeBiden Yes
Magic12Miller,@JoeBiden Old demented man. Why does your family allow you to be abused like this?
LKBAwake,"@JoeBiden If one does not feel comfortable voting in person, there is such thing as ABSENTEE BALLOTS.   That is wha… https://t.co/imbymxPrQG"
dtcahh,@JoeBiden https://t.co/MwX5RiHne6
colorfullizard,@JoeBiden Yes we all already can.. absentee ballots.. AZ had it for years
mayhem1958,"@JoeBiden @cindyglenn214 yes, but he did not cheat and change the ballots to Democrats like your party does.....plu… https://t.co/PGRUZ3VqC2"
Soopaballz,@JoeBiden You're a joke
cat_badger,"@JoeBiden mail in absentee ballots are ok and reserved for people who cant physically get to the polling stations,… https://t.co/MyqPErBPJ3"
velutenanarch,@JoeBiden Yeah well anarchists should also be allowed to be such without being arrested. You need to do some fuckin… https://t.co/b7ltgOuxtF
darylr44,@JoeBiden You can't remember your own name how would you know who voted when.. oh I forgot you graduated top of your class with 3 degrees..
NeverWasABot,@JoeBiden Some absentee voting is decidedly different than doing the majority of the electorate by mail; too much f… https://t.co/V9NKhhvKNR
tedesco_sr,@JoeBiden as absentee is nothing like the mail in fraud being pushed by the left. If you are afraid of voting sign… https://t.co/Rfy80uYitr
Gene72214395,@JoeBiden NO WE KNOW WHAT YOU WANT TO DO! CHEAT!!!
RadioHeadRUSH1,"@JoeBiden Do you have proof, Pedo Joe?  ........methinks not"
daisyroisin,@JoeBiden I'd rather not mimic Trump https://t.co/peAsajrJA1
Zain1702,@JoeBiden #TrumpIsNotWell
HondaDriver13,@JoeBiden Absentee ballot. There's a distinct difference. Hey @jack where's the fact checking for this clown?
Chris92857240,@JoeBiden Your nuts you think I am going vote by mail so that your leftists will change it to make you president ok… https://t.co/kqvdhPRth8
Joe60288590,@JoeBiden Gotta remember where the post office is first.
mjart11,@JoeBiden That’s your only chance just straight up cheat.
sharonw43267343,"@JoeBiden Joe, joe joe it is called a absentee ballot..which is verified by the state."
Ania_Fotography,@JoeBiden And you should vote for Trump! #Trump2020
JunkieJimmy47,@JoeBiden You're not the real candidate anyways. When is she going to throw her name out there?
dtcahh,@JoeBiden https://t.co/R8jEo0ZSKO
tedesco_sr,@JoeBiden FACTS- Donald Trump works/lives in Wash DC. His residency is in FL. He used absentee voting which is perm… https://t.co/feXk2fVfdI
roywilliams1976,@JoeBiden Masks are mandated murder by globalists trying to fight an imaginary climate change/global warming at the… https://t.co/kUrvSHLFI3
TenorDrumLucy,@JoeBiden I vote by mail every election. It's easier to do than standing in linr for 2 hours.
CathySm57130854,"@JoeBiden Symone, I mean Joe lies."
JohnTKennedy63,@JoeBiden In person voting. No Vote by Mail. Voter ID.
PoorSoccerDad,"@JoeBiden Under normal circumstances, sure. Not this year so you can cheat"
Powerwashman,@JoeBiden So did a whole bunch of dead people.
J_Hill93,@JoeBiden There is a difference between an absentee vote  and a vote by mail!! You should know this former vp!
savir_09,@JoeBiden Absolutely!  His message is to confuse his ilk.  Many believe that illegal voting means illegals voting.
JeffsafeT,@JoeBiden Apples and oranges. Asking for a absentee ballot is different that mailing a ballot to every registered v… https://t.co/IGPWmgytQ2
sheryl28097236,@JoeBiden No mail in voting! No cheating sleepy Joe!
AngryRacoon2,@JoeBiden You already can in literally every state. But you might have to put forward 10 min of your time to get it done.
Susie01427353,"@JoeBiden Your supporters can go out anytime to riot and loot, why voters are required to stay home and choose vote by mail?"
TD36742348,@JoeBiden He also was interviewed by @foxpokerfox on @FoxNews which you’re apparently to chicken shit to do. Want A… https://t.co/MdpYbuarcT
tpw8791,"@JoeBiden But he sent the ballot in for himself, he didn't send in votes for people that no longer are alive"
11_Bonez_11,"@JoeBiden But can you show if his vote was actually counted or attributed to the correct candidates?  Until then, suck it."
Standinganthem,@JoeBiden Fun fact: Joe Biden believes his own name is Donald Trump
meerhouse2016,@JoeBiden my state already has absentee voting what you're proposing is not needed
JasonKHolt,"@JoeBiden Problem with @realDonaldTrump is that of the 5 candidates on his mail-in ballot (person, woman, man, came… https://t.co/x4Voq35pbQ"
earwaxburner,@JoeBiden You voted by Pony Express old man.
OrangeL83619933,@JoeBiden https://t.co/yVM90SXneO you weren't in Vermont Joe
DatoFreddy,@JoeBiden get back to your basement.. the end. sniff your MASK👃👃
BoyZilian1,@JoeBiden Nope
dfddfkvh81,@JoeBiden @willwilkinson He has not for a Presidential election  #LyingBiden
WilliamMewis,@JoeBiden Did you have# help voting?
da01da01,"@JoeBiden The way for the Democratic Party to seize power: first they must ban the gun in your hand, then they must… https://t.co/wUZIKkSfP6"
ellablu_blu,@JoeBiden So did my dead grandma!!! 👍🏻#RedWave2020
ChesterTherese,@JoeBiden Such a joker JOE 😂😂😂
5Revelation1,@JoeBiden https://t.co/KR22XnrxrI
FrankMax17,@JoeBiden It’s called absentee and it’s signature verified unlike what you  want. Stop voter fraud! Stop Biden!
MikeA25393110,@JoeBiden Good idea Choosing  on her knees Kamala after she called you a racist.  No balls sleepy joe
margaretp77,@JoeBiden Absentee ballot does not equal mass mail in voting
juli_booboo,@JoeBiden There is a difference between and absentee ballot and just getting them mailed to whoever!!!! Vite at the… https://t.co/A14wshInSW
Wsswendy,"@JoeBiden Trump is the president who lives in a different place now.   You should do that too! Run from president,… https://t.co/JeH6HyCScH"
SWatsonMAGA,@JoeBiden You want millions of people to vote by mail because you can cheat and alter the true results of the elect… https://t.co/2jrxU0bZqF
PocketFulloNugs,@JoeBiden Just curious cause I haven't heard. What version of mail was it. I know there are may levels to send mail… https://t.co/DmT45AbmWX
holyAl3,@JoeBiden Sure
Yarimbo,@JoeBiden Joe. Stop flirting with Republicans. Ok?
deepsea39,@JoeBiden Do you remember what you did?
NBJT74,"@JoeBiden If you can stand in line at Walmart, Lowe's, Home Depot, DMV, grocery store, dollar store or for the newe… https://t.co/cYafHzmIVN"
DerrickJones01,"@JoeBiden Joe doesn’t understand what absentee ballot’s are, And he’s hoping the rest of America doesn’t either!"
FerranteGiants,@JoeBiden Absentee ballot is NOT vote by mail
JohannaScharf,"@JoeBiden An absentee ballot is requested, big difference Joe Joe"
Ava3Stone,@JoeBiden The city of New York couldn't get mail ballots done correctly. It took weeks for them to decide on the el… https://t.co/umdpcGxBqX
Justath55731594,"@JoeBiden Don't want to, i want to know that my vote will be counted. You want mail in voting so you and your party… https://t.co/yX77h7o0vG"
Susan_4America,"@JoeBiden No one is saying people can’t vote by mail. BUT you must go to the election office, prove you’re elegible… https://t.co/U50Woa5CeV"
Druid_Orbweaver,@JoeBiden @KIPPSI1 I'm Australian and I wish I could vote for SOMEONE!!!! ANYONE BUT TRUMP!!!!! No offence intended😘
darrenford77,@JoeBiden Trump doesnt know how to use the mail. He probably slipped it into the return slot at a long abandoned Bl… https://t.co/Ho5RcnQMPQ
lalauraru777,@JoeBiden Requesting an absentee ballot vs  mass mailing ballots to everyone without updating and cleaning up old v… https://t.co/BeuhUvjT4F
EwB23,@JoeBiden Don't worry I will! I will not vote for you! I will not vote for Trump! I am voting for a REAL American w… https://t.co/e8s6qs9ylP
SMR11992,"@JoeBiden Well, only if you are voting for Biden. Democrats censor will burn all Trump supporters mail"
TNT8072,@JoeBiden @JoeBiden https://t.co/mdLNjhI4jo
MasterFugu,@JoeBiden Does that include all the dead people that make up 67% of your voter base?
bvictorious11,@JoeBiden You mailed it in on the american people a long time ago. Please don’t lecture us on mail in ballots.
MightySword8,@JoeBiden He also knows where he is located.
BrianM27343305,@JoeBiden I will go in person.
BCPatriot3,"@JoeBiden Everyone, with reason can. How can you run for President, and not know this? How can you have been in gov… https://t.co/YD7xXijw9F"
GeneEmerick68,@JoeBiden Did you believe Harris would get you more black votes? we all know she sucked her way to the top! https://t.co/MzkE4wbSQY
terrimore1,@JoeBiden Liar. It's called ABSENTEE BALLOT which you have to go w ID in order to register!
ChazHatesJazz,"@JoeBiden Donald Trump voted by absentee ballot, not vote-by-mail fraud, like you're talking about, assclown."
JasonShipp11,@JoeBiden Did you learn of that by your spying on his campaign????
NericDanijela,"@JoeBiden Absentee ballot. Much like your mind , it’s elsewhere. Is this what you guys are running on? It’s ok to b… https://t.co/wtCOan4uE7"
AaronKKelley,@JoeBiden You should get some serious help for your dementia.
DaddyDill8,@JoeBiden It's called an absentee ballot.
halabarb,@JoeBiden Got my ballot coming to me!
Tom_Ace_45,"@JoeBiden Tell ya what man, I got to do this week I just drove down there and it took me three hours for a week and… https://t.co/BjhJ1doXqx"
kputthoff,@JoeBiden What day is it there joe!?
pjustin23,@JoeBiden Does that mean I can book Air Force One for my next trip?
cat_42568,@JoeBiden Absolutely. Obama put a site up for everyone that wants to register to vote by mail. Thank you Mr. Biden.
PSerefine,@JoeBiden Listen to two mailmen talk about the idea of mail in voting. https://t.co/Vme9l9npxv
Simsy6_,@JoeBiden https://t.co/3SVLCC4sAX
SidRamone1,@JoeBiden https://t.co/EGbCsFOKTI
StormBringerIXI,@JoeBiden There are literally dozens of people caught in attempts at voter fraud since they started this BS... more… https://t.co/jmoDvYHZ7y
Maurice4642522,"@JoeBiden Biden, do you not understand the difference between voting by mail as an absentee voter versus voting by… https://t.co/ZaS3TD4gXL"
dustinmillerwvu,"@JoeBiden Do you think the American people are stupid? It’s called an absentee ballot, not mail in voting"
SidRamone1,@JoeBiden https://t.co/9M2LplmWyE
Davemorton111,"@JoeBiden There's specific reasons, and a process for doing so. Its not for any reason."
HarrisonStefan2,@JoeBiden Someone help! Joe escaped the psychiatric ward!
Scoobyluff,@JoeBiden There is a big difference between absentee ballots and mass vote by mail. What are you afraid of Joe? Hint: it’s not the virus
