title,dept,salary,race,gender,hire_date
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1991-11-12
DISTRICT CHIEF,Houston Fire Department (HFD),89590.0,White,Male,1993-03-29
GRAPHIC DESIGNER,Houston Airport System (HAS),52499.0,Black,Male,2012-03-19
UTILITY WORKER,Public Works & Engineering-PWE,34798.0,Black,Male,2007-12-10
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,35942.0,Black,Female,1992-12-03
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,2007-02-26
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,2008-02-04
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,1985-10-14
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,2011-05-23
CEMENT FINISHER,Public Works & Engineering-PWE,31491.0,Black,Male,2012-08-27
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,2008-02-04
EQUIPMENT OPERATOR III,Houston Airport System (HAS),40435.0,Black,Male,1990-12-03
UTILITY WORKER,Public Works & Engineering-PWE,30555.0,Black,Male,1991-03-04
SENIOR MICROCOMPUTER ANALYST,Houston Police Department-HPD,62383.0,Asian,Male,2013-07-29
RECREATION SPECIALIST,Parks & Recreation,30368.0,Black,Male,2007-10-22
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,40435.0,Black,Male,1993-07-21
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,Black,Male,1989-11-16
POLICE SERGEANT,Houston Police Department-HPD,74511.0,Black,Male,2007-10-01
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,2012-06-25
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1995-06-19
EQUIPMENT WORKER,Parks & Recreation,29307.0,Black,Male,2016-01-11
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,1985-10-14
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2014-03-29
SENIOR INSPECTOR,Public Works & Engineering-PWE,56742.0,Black,Male,1986-04-14
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1985-05-28
ASSISTANT DIRECTOR (EXECUTIVE LEVEL),Houston Airport System (HAS),120916.0,White,Male,2004-06-07
EQUIPMENT WORKER,Parks & Recreation,30347.0,Hispanic,Male,2004-09-20
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,2006-08-21
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,2008-05-19
LABORER,Houston Airport System (HAS),26125.0,Black,Male,2015-05-11
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,2003-09-15
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1982-09-20
"ASSOCIATE EMS PHYSICIAN DIRECTOR,MD",Houston Fire Department (HFD),210588.0,White,Male,2001-09-05
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,2011-05-23
WEB DESIGNER,Houston Police Department-HPD,59530.0,Hispanic,Male,2007-07-23
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,45906.0,Black,Female,2001-07-09
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,2011-05-23
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1982-12-13
EQUIPMENT WORKER,Public Works & Engineering-PWE,30347.0,Asian,Male,2014-10-27
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,1989-10-05
MANAGING ENGINEER,Public Works & Engineering-PWE,110881.0,White,Male,2006-03-20
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,2011-12-05
ADMINISTRATIVE AIDE,Houston Police Department-HPD,30451.0,Hispanic,Female,2000-08-28
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,White,Male,2001-12-26
MAINTENANCE MECHANIC III,Houston Airport System (HAS),39707.0,Hispanic,Male,2013-11-18
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Hispanic,Male,2014-04-28
SUPERINTENDENT,Houston Airport System (HAS),69514.0,White,Male,2006-06-12
EQUIPMENT WORKER,Public Works & Engineering-PWE,32344.0,Black,Male,2007-05-14
UTILITY WORKER,Public Works & Engineering-PWE,30992.0,White,Male,1993-09-30
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Male,1993-02-01
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,1992-08-31
COUNSELOR,Health & Human Services,47382.0,Black,Female,2008-10-13
UTILITY WORKER,Public Works & Engineering-PWE,39104.0,Black,Female,1999-03-29
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2014-09-27
SENIOR MICROCOMPUTER ANALYST,Houston Airport System (HAS),62432.0,Asian,Male,2012-11-26
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Hispanic,Male,2001-10-30
POLICE OFFICER,Houston Police Department-HPD,55461.0,Asian,Male,2006-05-22
CUSTOMER SERVICE REPRESENTATIVE II,Health & Human Services,43784.0,Hispanic,Female,1993-07-16
POLICE SERVICE OFFICER,Houston Police Department-HPD,27914.0,Asian,Male,2015-05-26
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2002-05-20
INSPECTOR,Public Works & Engineering-PWE,53123.0,Hispanic,Male,2001-05-25
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1978-12-18
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,42370.0,Hispanic,Male,2007-06-04
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1993-04-12
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1979-02-12
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Hispanic,Male,2001-03-20
EQUIPMENT WORKER,Public Works & Engineering-PWE,30347.0,Black,Male,2016-02-29
ADMINISTRATIVE SPECIALIST,Houston Fire Department (HFD),58040.0,Hispanic,Female,1995-05-23
SENIOR CAPTAIN,Houston Fire Department (HFD),74270.0,White,Female,2001-12-26
SENIOR POLICE TELECOMMUNICATOR,Houston Police Department-HPD,46675.0,White,Female,2011-03-21
FINANCIAL ANALYST III,Houston Police Department-HPD,59182.0,Black,Female,1985-04-15
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,1996-07-29
EQUIPMENT WORKER,Public Works & Engineering-PWE,33987.0,Black,Female,2013-07-29
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Native American,Male,1996-11-18
INSPECTOR,Public Works & Engineering-PWE,47382.0,Hispanic,Male,2013-12-09
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1982-09-20
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Female,2013-08-31
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1995-04-10
TECHNICAL  HARDWARE  ANALYST  III,Houston Police Department-HPD,62338.0,Asian,Male,2013-06-03
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1992-08-31
FIELD SUPERVISOR,Public Works & Engineering-PWE,45490.0,Black,Male,1991-01-28
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1983-10-03
CAPTAIN,Houston Fire Department (HFD),66523.0,Hispanic,Male,2001-10-30
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,2016-01-04
COMMUNITY RELATIONS SPECIALIST,Health & Human Services,32802.0,Hispanic,Male,2014-10-13
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,2013-02-04
RECREATION ASSISTANT,Parks & Recreation,,Hispanic,Male,2016-05-21
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,2015-10-12
OFFICE SUPERVISOR,Public Works & Engineering-PWE,38542.0,Hispanic,Male,2013-10-28
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,2009-01-12
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,35485.0,Black,Female,2005-05-28
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,2014-01-04
LABORER,Houston Airport System (HAS),26125.0,Black,Male,2015-05-26
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,2011-05-23
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,2001-12-26
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,2012-06-25
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,2006-06-26
LABORATORY MANAGER,Health & Human Services,81849.0,White,Female,2008-05-19
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,2007-08-13
CUSTOMER SERVICE REPRESENTATIVE I,Health & Human Services,30347.0,Black,Female,2012-11-13
SPECIAL SERVICE REPRESENTATIVE,Houston Airport System (HAS),35277.0,Black,Male,2004-11-29
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,39312.0,Hispanic,Female,2009-03-26
ELECTRICIAN,Houston Airport System (HAS),58677.0,White,Male,2003-12-22
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2002-06-25
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,2009-02-09
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,2004-08-03
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1996-10-28
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,34382.0,White,Female,1983-02-15
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,2008-06-16
EQUIPMENT WORKER,Public Works & Engineering-PWE,38438.0,Hispanic,Male,1992-07-27
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1997-05-27
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,2014-10-13
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1998-08-10
POLICE OFFICER,Houston Police Department-HPD,52514.0,White,Male,2009-06-22
INSPECTOR,Public Works & Engineering-PWE,54600.0,White,Male,2005-03-21
PLANT OPERATOR SUPERVISOR,Public Works & Engineering-PWE,54995.0,Black,Male,2005-02-21
INSPECTOR,Public Works & Engineering-PWE,51584.0,Hispanic,Male,2015-05-18
INSPECTOR,Houston Fire Department (HFD),70181.0,Black,Male,1990-07-09
ADMINISTRATIVE COORDINATOR,Public Works & Engineering-PWE,59748.0,Black,Male,2006-03-27
ASSISTANT DIRECTOR-PUBLIC WORKS (EXECUTI,Public Works & Engineering-PWE,141948.0,White,Male,2005-08-22
ASSISTANT AIRPORT MANAGER,Houston Airport System (HAS),100228.0,Black,Male,1991-04-04
UTILITY WORKER,Public Works & Engineering-PWE,31450.0,Hispanic,Male,2003-07-09
FIELD SUPERVISOR,Public Works & Engineering-PWE,45989.0,Black,Male,1998-08-03
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Black,Female,1985-10-14
SENIOR CONTRACT ADMINISTRATOR,Health & Human Services,81972.0,Black,Female,2001-08-20
EQUIPMENT WORKER,Parks & Recreation,33634.0,Hispanic,Male,1994-06-25
DISTRICT CHIEF,Houston Fire Department (HFD),84995.0,White,Male,2000-03-21
DENTAL ASSISTANT,Health & Human Services,28434.0,Hispanic,Female,2014-12-08
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1996-12-02
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Hispanic,Male,2002-01-28
POLICE SERGEANT,Houston Police Department-HPD,,White,Male,1974-06-10
ADMINISTRATIVE SPECIALIST,Houston Airport System (HAS),51139.0,White,Female,1992-02-10
POLICE OFFICER,Houston Police Department-HPD,45279.0,Hispanic,Male,2013-06-10
POLICE SERGEANT,Houston Police Department-HPD,,White,Male,1990-01-22
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Female,2008-05-05
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,2007-12-10
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,1981-07-27
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1985-04-15
ACCOUNTANT SUPERVISOR,Houston Airport System (HAS),68451.0,Hispanic,Female,2006-10-02
ADMINISTRATIVE ASSISTANT,Parks & Recreation,36920.0,Hispanic,Female,1990-05-21
POLICE SERGEANT,Houston Police Department-HPD,77076.0,White,Male,2000-11-06
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Female,2014-10-11
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,1996-10-28
RECORDS ADMINISTRATOR,Houston Airport System (HAS),65832.0,White,Male,2015-01-05
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,2007-08-13
POLICE OFFICER,Houston Police Department-HPD,50621.0,Black,Male,2011-03-21
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1985-07-22
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,2004-08-09
COMMUNITY RELATIONS SPECIALIST,Health & Human Services,,,Female,2016-05-23
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Female,2015-07-20
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,2010-06-14
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Female,1994-11-07
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,2012-04-16
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,2012-06-25
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Female,2001-12-03
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Female,2016-01-04
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,2002-12-02
SENIOR BREASTFEEDING PEER COUNSELOR,Health & Human Services,32864.0,Hispanic,Female,2006-12-02
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,56742.0,White,Male,2007-03-05
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,2009-04-20
COMMUNITY INVOLVEMENT COORDINATOR,Parks & Recreation,48090.0,Black,Female,2008-07-28
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,2005-01-31
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1996-07-29
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Black,Male,2008-06-16
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Asian,Male,2001-12-03
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Black,Male,2014-07-07
INSPECTOR,Public Works & Engineering-PWE,46800.0,Hispanic,Male,2016-04-04
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,2014-07-03
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,2009-02-09
SENIOR INSPECTOR,Public Works & Engineering-PWE,63315.0,White,Male,2006-01-09
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1993-04-12
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Hispanic,Female,2014-12-22
EQUIPMENT WORKER,Public Works & Engineering-PWE,39978.0,Black,Male,1994-02-18
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,2011-05-23
SAFETY REPRESENTATIVE,Parks & Recreation,54600.0,Black,Male,2014-01-06
POLICE LIEUTENANT,Houston Police Department-HPD,86534.0,Black,Female,1993-06-21
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,37294.0,Hispanic,Female,2006-04-10
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2000-03-21
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Male,2010-05-24
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,2003-09-02
CAPTAIN,Houston Fire Department (HFD),66523.0,Black,Male,1999-11-15
POLICE OFFICER,Houston Police Department-HPD,45279.0,Black,Male,2014-02-03
ENGINEER OPERATOR,Houston Fire Department (HFD),,White,Male,1979-10-05
EQUIPMENT WORKER,Parks & Recreation,33488.0,Black,Male,1999-06-29
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,2009-02-09
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Black,Male,2014-11-24
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90716.0,Asian,Female,2008-11-17
EQUIPMENT OPERATOR II,Houston Airport System (HAS),41808.0,Hispanic,Male,1998-04-01
DIVISION MANAGER (EXECUTIVE LEVEL),Health & Human Services,94149.0,Asian,Female,2004-09-16
STAFF ANALYST,Public Works & Engineering-PWE,73783.0,White,Female,2000-03-16
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,1984-01-09
